dataset	predictor	year	sn	sp	bacc	mcc	auc	rank_auc	rank_bacc	rank_mcc	source
SL329	RegionAdapterMoETCN (this work)	2026	0.780902	0.935526	0.858214	0.733181	0.920545	1	1	1	This work: P4.8 full DM3000, 3-seed ensemble, Platt
SL329	IDP-EDL	2025	0.690000	0.970000	0.828000	0.700000	0.915000	2	3	2	IDP-EDL Table 5
SL329	IDP-Fusion	2023	0.729000	0.933000	0.831000	0.685000	0.908000	3	2	3	IDP-Fusion main paper Table 1
SL329	DeepIDP-2L	2022	0.730000	0.930000	0.828000	0.680000	0.904000	4	3	4	IDP-Fusion supplementary Table S3
SL329	SPOT-Disorder	2017	0.650000	0.960000	0.805000	0.650000	0.901000	5	9	6	IDP-Fusion supplementary Table S3
MXD494	RegionAdapterMoETCN (this work)	2026	0.752104	0.807806	0.779955	0.501629	0.850471	1	1	1	This work: P4.8 full DM3000, 3-seed ensemble, Platt
MXD494	FusionEncoder	2025	0.742000	0.806000	0.774000	0.492000	0.842000	2	2	2	FusionEncoder Table 3
MXD494	IDP-EDL	2025	0.679000	0.843000	0.761000	0.488000	0.837000	3	4	3	IDP-EDL Table 4
MXD494	IDP-Fusion	2023	0.712000	0.808000	0.760000	0.470000	0.834000	4	5	5	IDP-Fusion main paper Table 1
MXD494	IDP-Seq2Seq	2021	0.743000	0.791000	0.767000	0.475000	0.825000	5	3	4	IDP-Fusion supplementary Table S2
MXD494	DeepIDP-2L	2022	0.737000	0.776000	0.757000	0.452000	0.825000	5	6	8	IDP-Fusion supplementary Table S2
DISORDER723	RegionAdapterMoETCN (this work)	2026	0.659175	0.972673	0.815924	0.613151	0.945409	1	2	2	This work: P4.8 full DM3000, 3-seed ensemble, Platt
DISORDER723	IDP-EDL	2025	0.603000	0.984000	0.793000	0.636000	0.943000	2	4	1	IDP-EDL Table 6
DISORDER723	FusionEncoder	2025	0.695000	0.955000	0.825000	0.564000	0.932000	3	1	3	FusionEncoder Table 2
DISORDER723	IDP-Fusion	2023	0.625000	0.962000	0.793000	0.539000	0.917000	4	4	5	IDP-Fusion main paper Table 1
DISORDER723	DeepIDP-2L	2022	0.615000	0.962000	0.789000	0.529000	0.914000	5	6	8	IDP-Fusion supplementary Table S4
DISORDER723	AUCpreD	2016	0.580000	0.974000	0.777000	0.564000	0.914000	5	8	3	IDP-Fusion supplementary Table S4
