dataset	predictor	year	sn	sp	bacc	mcc	auc	rank_auc	rank_bacc	rank_mcc	source
SL329	RegionAdapterMoETCN (this work)	2026	0.780902	0.935526	0.858214	0.733181	0.920545	1	1	1	This work: P4.8 full DM3000, 3-seed ensemble, Platt
SL329	IDP-EDL	2025	0.690000	0.970000	0.828000	0.700000	0.915000	2	3	2	IDP-EDL Table 5
SL329	IDP-Fusion	2023	0.729000	0.933000	0.831000	0.685000	0.908000	3	2	3	IDP-Fusion main paper Table 1
SL329	DeepIDP-2L	2022	0.730000	0.930000	0.828000	0.680000	0.904000	4	3	4	IDP-Fusion supplementary Table S3
SL329	SPOT-Disorder	2017	0.650000	0.960000	0.805000	0.650000	0.901000	5	9	6	IDP-Fusion supplementary Table S3
SL329	IDP-Seq2Seq	2021	0.710000	0.920000	0.822000	0.670000	0.899000	6	5	5	IDP-Fusion supplementary Table S3
SL329	AUCpreD	2016	0.630000	0.960000	0.795000	0.640000	0.887000	7	11	8	IDP-Fusion supplementary Table S3
SL329	SPINE-D	2012	0.820000	0.800000	0.815000	0.610000	0.886000	8	7	11	IDP-Fusion supplementary Table S3
SL329	DISOPRED3	2015	0.670000	0.920000	0.796000	0.620000	0.880000	9	10	9	IDP-Fusion supplementary Table S3
SL329	RFPR-IDP	2021	0.780000	0.840000	0.809000	0.620000	0.879000	10	8	9	IDP-Fusion supplementary Table S3
SL329	MFDp	2010	0.880000	0.620000	0.750000	0.510000	0.873000	11	17	16	IDP-Fusion supplementary Table S3
SL329	IDP-FSP	2019	0.750000	0.890000	0.821000	0.650000	0.864000	12	6	6	IDP-Fusion supplementary Table S3
SL329	MD	2009	0.660000	0.890000	0.775000	0.580000	0.864000	12	13	13	IDP-Fusion supplementary Table S3
SL329	DISOPRED2	2004	0.690000	0.900000	0.795000	0.590000	0.858000	14	11	12	IDP-Fusion supplementary Table S3
SL329	DISOClust	2008	0.810000	0.700000	0.755000	0.510000	0.846000	15	16	16	IDP-Fusion supplementary Table S3
SL329	PONDR-FIT	2010	0.610000	0.910000	0.760000	0.550000	0.843000	16	14	14	IDP-Fusion supplementary Table S3
SL329	IUPred-long	2005	0.600000	0.920000	0.760000	0.550000	0.839000	17	14	14	IDP-Fusion supplementary Table S3
SL329	IUPred-short	2005	0.500000	0.940000	0.720000	0.500000	0.829000	18	19	19	IDP-Fusion supplementary Table S3
