dataset	predictor	proteins	rows	evaluated	unknown	positive	negative	accuracy	auc	aupr	sn	sp	bacc	mcc	fmax	threshold	tp	tn	fp	fn
SL329	idp_edl_g	329	180418	90836	89582	39544	51292	0.857534457704	0.916072212391	0.916447829399	0.737735181064	0.949894720424	0.843814950744	0.71503593007	0.829360484461	0.5	29173	48722	2570	10371
SL329	idp_edl_l	329	180418	90836	89582	39544	51292	0.847516403188	0.911373067784	0.907843024593	0.814206959336	0.87319659986	0.843701779598	0.689209269076	0.825566933926	0.5	32197	44788	6504	7347
SL329	idp_edl_s	329	180418	90836	89582	39544	51292	0.564831124224	0.762627227513	0.730958494606	0.000455189156383	0.999941511347	0.500198350252	0.0129371741959	0.66888693294	0.5	18	51289	3	39526
SL329	idp_edl	329	180418	90836	89582	39544	51292	0.849244792813	0.919071405779	0.916128638022	0.688498887315	0.973173204398	0.830836045857	0.706310843587	0.836602349439	0.5	27226	49916	1376	12318
MXD494	idp_edl_g	494	196501	196501	0	44087	152414	0.807812682887	0.852049729051	0.630770300257	0.723251752217	0.832272625874	0.777762189046	0.509493621399	0.63088774553	0.5	31886	126850	25564	12201
MXD494	idp_edl_l	494	196501	196501	0	44087	152414	0.780764474481	0.84821319709	0.59049627632	0.796515979767	0.776208222342	0.786362101055	0.500159473087	0.627454002505	0.5	35116	118305	34109	8971
MXD494	idp_edl_s	494	196501	196501	0	44087	152414	0.77616907802	0.707432241408	0.425321201552	0.00265384353664	0.999914705998	0.501284274767	0.0416720914678	0.470843450936	0.5	117	152401	13	43970
MXD494	idp_edl	494	196501	196501	0	44087	152414	0.816728668047	0.854314261949	0.604996268378	0.652527956087	0.864225071188	0.758376513637	0.496705108763	0.634645896437	0.5	28768	131720	20694	15319
DISORDER723	idp_edl_g	723	215229	215229	0	13526	201703	0.957784499301	0.94234454609	0.68108273794	0.605130859086	0.981433097178	0.793281978132	0.622111743995	0.643786709663	0.5	8185	197958	3745	5341
DISORDER723	idp_edl_l	723	215229	215229	0	13526	201703	0.913269122655	0.905255480362	0.572824959876	0.677288185716	0.929093766578	0.803190976147	0.472182146671	0.54562304514	0.5	9161	187401	14302	4365
DISORDER723	idp_edl_s	723	215229	215229	0	13526	201703	0.93764316147	0.906380151349	0.607198941965	0.00820641727044	0.999970253293	0.504088335282	0.0851318597553	0.592149085058	0.5	111	201697	6	13415
DISORDER723	idp_edl	723	215229	215229	0	13526	201703	0.957482495389	0.937724553301	0.659822234232	0.478855537483	0.989578737054	0.734217137269	0.581103506152	0.623982677518	0.5	6477	199601	2102	7049
