dataset	metric	paper_reported	local_recomputed	delta_local_minus_paper	paper_source	status
SL329	Sn	0.690000000	0.631464248	-0.058535752	IDP-EDL Table 5	not_reproduced
SL329	Sp	0.970000000	0.965176241	-0.004823759	IDP-EDL Table 5	not_reproduced
SL329	BACC	0.828000000	0.798320244	-0.029679756	IDP-EDL Table 5	not_reproduced
SL329	MCC	0.700000000	0.652292377	-0.047707623	IDP-EDL Table 5	not_reproduced
SL329	AUC	0.915000000	0.905159835	-0.009840165	IDP-EDL Table 5	not_reproduced
MXD494	Sn	0.679000000	0.624275053	-0.054724947	IDP-EDL Table 4	not_reproduced
MXD494	Sp	0.843000000	0.875596752	0.032596752	IDP-EDL Table 4	not_reproduced
MXD494	BACC	0.761000000	0.749935902	-0.011064098	IDP-EDL Table 4	not_reproduced
MXD494	MCC	0.488000000	0.491945585	0.003945585	IDP-EDL Table 4	not_reproduced
MXD494	AUC	0.837000000	0.856910538	0.019910538	IDP-EDL Table 4	not_reproduced
DISORDER723	Sn	0.603000000	0.402617569	-0.200382431	IDP-EDL Table 6	not_reproduced
DISORDER723	Sp	0.984000000	0.987960903	0.003960903	IDP-EDL Table 6	not_reproduced
DISORDER723	BACC	0.793000000	0.695289236	-0.097710764	IDP-EDL Table 6	not_reproduced
DISORDER723	MCC	0.636000000	0.504994133	-0.131005867	IDP-EDL Table 6	not_reproduced
DISORDER723	AUC	0.943000000	0.916815671	-0.026184329	IDP-EDL Table 6	not_reproduced
